ID,Title,Description,Focus Keywords,Canonical URL
2035,"Всемирное агентство счастья — Манифест достоинства и система ценностей","Официальный сайт Всемирного агентства счастья. Философия достоинства, система ценностей 3Ц и 10Ц, индекс счастья, формулы и модели.","всемирное агентство счастья, философия достоинства, система ценностей, 3Ц, 10Ц, индекс счастья","https://wha2025.ru/"
4222,"Система ценностей 10Ц — расширенная модель человека","Расширенная система ценностей 10Ц: десять координат развития человека, основанных на достоинстве как нулевой точке.","10Ц, система ценностей, ценности человека, философия достоинства","https://wha2025.ru/o-sisteme-10c/"
16,"Контакты Всемирного агентства счастья","Связаться с автором проекта Всемирное агентство счастья. Вопросы, предложения, сотрудничество.","контакты, связь, всемирное агентство счастья","https://wha2025.ru/kontakty/"
5829,"Манифест достоинства — фундаментальная философия человека","Манифест достоинства — основа системы ценностей человека. Достоинство как нулевая точка координат, источник свободы и развития.","манифест достоинства, философия достоинства, ценности человека","https://wha2025.ru/manifest/"
6651,"Основы философии достоинства","Базовые принципы философии достоинства и ценностной модели человека.","философия достоинства, ценности человека, основы","https://wha2025.ru/osnovy/"
6469,"О системе 10Ц — структура и смысл","Описание структуры системы 10Ц, её координат и роли достоинства как нулевой точки.","10Ц, система ценностей, координаты человека","https://wha2025.ru/o-10c/"
2036,"О нас — Всемирное агентство счастья","Миссия, цели и философская основа проекта Всемирное агентство счастья.","о нас, всемирное агентство счастья, миссия","https://wha2025.ru/o-nas/"
2042,"Устав Всемирного агентства счастья","Официальный устав проекта Всемирное агентство счастья.","устав, философия достоинства, ценности","https://wha2025.ru/ustav/"
4670,"Ustav — English version","The official charter of the World Happiness Agency in English.","charter, dignity philosophy, values","https://wha2025.ru/ustav-eng/"
6436,"Перспективы развития системы ценностей","Будущее системы ценностей 3Ц и 10Ц, развитие моделей и философии достоинства.","перспективы, развитие, ценности, философия","https://wha2025.ru/perspektivy/"
2037,"Счастье — индекс, формулы и координаты","Индекс счастья, формула с коэффициентом достоинства Kₑdₑ, координатная модель человека.","индекс счастья, формула счастья, Kₑdₑ, координаты","https://wha2025.ru/schaste/"
5489,"2–3 уровень 10Ц — развитие ценностей","Описание второго и третьего уровня системы ценностей 10Ц, их роль в развитии человека.","10Ц, уровни ценностей, развитие человека","https://wha2025.ru/2-3-uroven-10c/"
